image_id,image_folder,image_filename,source_relpath,caption
ASI 031,overview,C01-Avaloka-ShaktiPandara-ASI31.jpg,01-Cave (3.8 MB)\C01-Avaloka-ShaktiPandara-ASI31.jpg,
ASI 036,cave1,C01-ChampeyyaJataka-TwoCourtiers-ASI36.jpg,01-Cave (3.8 MB)\C01-ChampeyyaJataka-TwoCourtiers-ASI36.jpg,"Courtiers watch Snake Dance — Champeyya Jaataka, Cave 1"
ASI 038,cave1,C01-ChampeyyaJataka-WomenListeningToSermon-ASI38.jpg,01-Cave (3.8 MB)\C01-ChampeyyaJataka-WomenListeningToSermon-ASI38.jpg,"Three Maids listening to the Sermon — Champeyya Jaataka, Cave 1"
ASI 047,overview,C02-Ceiling-Rectangles-ASI47.jpg,02-Cave (2.3 MB)\C02-Ceiling-Rectangles-ASI47.jpg,
ASI 080,cave17,C17-Simhala-Woman-ASI80.jpg,17-Cave (14.0 MB)\C17-Simhala-Woman-ASI80.jpg,"Raakshasi feigns Love — Simhala Avadaana, Cave 17"
ASI 083,overview,C17-Ceiling-Rectangle-ASI83.jpg,17-Cave (14.0 MB)\C17-Ceiling-Rectangle-ASI83.jpg,
ASI 085,cave10,C10-TwoBuddhas-ASI85.jpg,10-Cave\C10-TwoBuddhas-ASI85.jpg,"Two Figures of the Buddha — Cave 10, period of decline"
ASI 17,overview,C01-Lustration-HonouringAscetic-ASI17.jpg,01-Cave (3.8 MB)\C01-Lustration-HonouringAscetic-ASI17.jpg,
ASI 46,overview,C02-Votaries-ChildrenalingToy-ASI46.jpg,02-Cave (2.3 MB)\C02-Votaries-ChildrenalingToy-ASI46.jpg,
Cave 1,cave1,C01-InsideView-MJT007.jpg,Madanjit_reduced (0.7 MB)\C01-InsideView-MJT007.jpg,
Cave 2,cave2,C02-InteriorView-BB019.jpg,BenoyBehl_reduced (3.6 MB)\C02-InteriorView-BB019.jpg,View of the Interior of Cave 2
Kbl 019,cave2,C02-InteriorView-BB019.jpg,02-Cave (2.3 MB)\C02-InteriorView-BB019.jpg,View of the Interior of Cave 2
Kbl 022,cave6,C06-BuddhaSculpture-BB022.jpg,BenoyBehl_reduced (3.6 MB)\C06-BuddhaSculpture-BB022.jpg,"Buddha in the Niche — sculpture, Cave 6, 5th century AD"
Kbl 023,cave6,C06-Buddha-BB023.jpg,BenoyBehl_reduced (3.6 MB)\C06-Buddha-BB023.jpg,"Buddha baffles Critics — Miracle of Shraavasti, Cave 6"
Kbl 024,cave6,C06-Bhishu with Lotus-ASI02.jpg,06-Cave\C06-Bhishu with Lotus-ASI02.jpg,"Bhikshu with Lotus — Cave 6, 5th century AD"
Kbl 047,cave26,C26-Parinirvana-Ananda-BB047.jpg,26-Cave\C26-Parinirvana-Ananda-BB047.jpg,"Ananda weeping — relief sculpture, Cave 26"
Kbl 048,cave17,C17-LadyInToilet-BB048.jpg,17-Cave (14.0 MB)\C17-LadyInToilet-BB048.jpg,"Lady at her Toilet — solo painting, Cave 17, End of 6th century AD"
Kbl 066,cave1,C01-Avaloka-Avaloka-BB066.jpg,01-Cave (3.8 MB)\C01-Avaloka-Avaloka-BB066.jpg,"Bodhi-sattva Avalokiteshwara — Cave 1, 2nd half 6th century AD"
Kbl 068,cave1,C01-Padmapani-Consort-BB068.jpg,01-Cave (3.8 MB)\C01-Padmapani-Consort-BB068.jpg,"Padma-paani's Consort — Bodhi-sattva Panel, Cave 1"
Kbl 069,cave1,C01-Padmapani-Padmapani-BB069.jpg,01-Cave (3.8 MB)\C01-Padmapani-Padmapani-BB069.jpg,"Bodhi-sattva Padma-paani — Cave 1, 2nd half 6th century AD · MASTERPIECE"
Kbl 071T,overview,C01-Padmapani-KinnaraWith mandolin-BB071.jpg,01-Cave (3.8 MB)\C01-Padmapani-KinnaraWith mandolin-BB071.jpg,
Kbl 072,cave1,C01-ShibiJataka-Panel(Left)-BB072.jpg,01-Cave (3.8 MB)\C01-ShibiJataka-Panel(Left)-BB072.jpg,"Royal Pavilion — Shibi Jaataka, Cave 1"
Kbl 074,cave1,C01-ShibiJataka-KingWeighing(Ed)-BB074.jpg,01-Cave (3.8 MB)\C01-ShibiJataka-KingWeighing(Ed)-BB074.jpg,"King weighs Himself — Shibi Jaataka, Cave 1"
Kbl 079,cave1,C01-Nanda-AtGate-BB079.jpg,01-Cave (3.8 MB)\C01-Nanda-AtGate-BB079.jpg,"Bhikshu — Conversion of Nanda, Cave 1"
Kbl 081L,overview,C01-Nanda-Maid-BB081.jpg,01-Cave (3.8 MB)\C01-Nanda-Maid-BB081.jpg,
Kbl 082,cave1,C01-ShankhapalaJataka-SermonScene-BB082.jpg,01-Cave (3.8 MB)\C01-ShankhapalaJataka-SermonScene-BB082.jpg,Shankha-paala listens to the Sermon — Cave 1
Kbl 085,cave1,C01-MahajanakaJataka-Sermon-BB085.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-Sermon-BB085.jpg,"Mahaa-Janaka Meets An Ascetic — Mahaa-janaka Jaataka, Cave 1"
Kbl 087L,overview,C01-MahajanakaJataka-Abducating-BB087.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-Abducating-BB087.jpg,
Kbl 087R,overview,C01-MahajanakaJataka-Abducating-BB087.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-Abducating-BB087.jpg,
Kbl 088,overview,C01-MahajanakaJataka-DisturbedHousehol-BB088.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-DisturbedHousehol-BB088.jpg,
Kbl 089,overview,C01-MahajanakaJataka-ComposedQueen-BB089.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-ComposedQueen-BB089.jpg,
Kbl 090L,cave1,C01-MahajanakaJataka-KingDilemma-BB090.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-KingDilemma-BB090.jpg,"Queen captivates Mahaa-janaka — Mahaa-janaka Jaataka (baroque), Cave 1"
Kbl 091,cave1,C01-MahajanakaJataka-Dancer-BB091.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-Dancer-BB091.jpg,"Dancing Girl With Musicians — Mahaa-janaka Jaataka (reverse perspective), Cave 1"
Kbl 096,cave1,C01-MahajanakaJataka-KingLeaves-BB096.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-KingLeaves-BB096.jpg,"Mahaa-Janaka Leaves The Palace — Mahaa-janaka Jaataka, Cave 1"
Kbl 097,overview,C01-MahajanakaJataka-Women-BB097.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-Women-BB097.jpg,
Kbl 106B,cave1,C01-ChampeyyaJataka-Sermon-BB106b.jpg,01-Cave (3.8 MB)\C01-ChampeyyaJataka-Sermon-BB106b.jpg,"Champeyya Gives A Sermon — Champeyya Jaataka, Cave 1"
Kbl 106T,overview,C01-ChampeyyaJataka-SnakeDance-BB106.jpg,01-Cave (3.8 MB)\C01-ChampeyyaJataka-SnakeDance-BB106.jpg,
Kbl 108,cave1,C01-Ceiling-PersianHarem-BB108.jpg,01-Cave (3.8 MB)\C01-Ceiling-PersianHarem-BB108.jpg,"Royal Harem — ceiling painting, Cave 1"
Kbl 109,cave1,C01-UnidentifiedForeigner-BB109.jpg,01-Cave (3.8 MB)\C01-UnidentifiedForeigner-BB109.jpg,"Some Foreigners — Cave 1, End of 6th century AD"
Kbl 118,cave2,C02-Sravasti-BB118.jpg,02-Cave (2.3 MB)\C02-Sravasti-BB118.jpg,"Thousand Buddhas — Miracle of Shraavasti, Cave 2, period of decline"
Kbl 120,cave2,C02-Nativity-TushitaHeaven-BB120.jpg,02-Cave (2.3 MB)\C02-Nativity-TushitaHeaven-BB120.jpg,"Future Buddha in Tushita Heaven — Nativity of the Buddha, Cave 2"
Kbl 122B,cave2,C02-Nativity-Astrologer-BB122.jpg,02-Cave (2.3 MB)\C02-Nativity-Astrologer-BB122.jpg,"Queen Mahaa-maaya musing — Nativity of the Buddha, Cave 2"
Kbl 122T,cave2,C02-Nativity-Astrologer-BB122.jpg,02-Cave (2.3 MB)\C02-Nativity-Astrologer-BB122.jpg,"King listens to the Interpretation of the Dream — Nativity, Cave 2"
Kbl 122b,overview,C02-Nativity-Astrologer-BB122.jpg,02-Cave (2.3 MB)\C02-Nativity-Astrologer-BB122.jpg,
Kbl 123,cave2,C02-Nativity-Birth-BB123.jpg,02-Cave (2.3 MB)\C02-Nativity-Birth-BB123.jpg,"Birth of the Buddha — Nativity, Cave 2, 5th century AD"
Kbl 126,cave2,C02-Votaries-BB126.jpg,02-Cave (2.3 MB)\C02-Votaries-BB126.jpg,"Votaries with Offerings — Cave 2, classical peak, End of 4th century AD"
Kbl 127,cave2,C02-ChildrenWithHen-BB127.jpg,02-Cave (2.3 MB)\C02-ChildrenWithHen-BB127.jpg,"Children playing with Hen — Cave 2, End of 4th century AD"
Kbl 129,overview,C02-VidhuraJataka (panel)-BB129.jpg,02-Cave (2.3 MB)\C02-VidhuraJataka (panel)-BB129.jpg,
Kbl 130,cave2,C02-VidhuraJataka-IrandatiOnSwing-BB130.jpg,02-Cave (2.3 MB)\C02-VidhuraJataka-IrandatiOnSwing-BB130.jpg,"Irandati meets Punyaka — Vidhura-pandita Jaataka, Cave 2"
Kbl 131,overview,C02-VidhuraJataka-NagaCourt-BB131.jpg,02-Cave (2.3 MB)\C02-VidhuraJataka-NagaCourt-BB131.jpg,
Kbl 132,cave2,C02-VidhuraJataka-Game-BB132.jpg,02-Cave (2.3 MB)\C02-VidhuraJataka-Game-BB132.jpg,"Game of Dice — Vidhura-pandita Jaataka, Cave 2 · reverse perspective"
Kbl 133,overview,C02-VidhuraJataka-AdvisingKing-BB133.jpg,02-Cave (2.3 MB)\C02-VidhuraJataka-AdvisingKing-BB133.jpg,
Kbl 134,cave2,C02-VidhuraJataka-FarewellSermon-BB134.jpg,02-Cave (2.3 MB)\C02-VidhuraJataka-FarewellSermon-BB134.jpg,Vidhura-pandita gives Farewell Sermon — Cave 2
Kbl 136,cave2,C02-Vidhura-Sermon-BB136.jpg,02-Cave (2.3 MB)\C02-Vidhura-Sermon-BB136.jpg,Vidhura-pandita in Naaga Kingdom — Cave 2
Kbl 137,overview,C02-VidhuraJataka-Vimala&Irandati-BB137.jpg,02-Cave (2.3 MB)\C02-VidhuraJataka-Vimala&Irandati-BB137.jpg,
Kbl 139B,overview,C02-Ceiling-CiclesWithMithuna-BB139.jpg,02-Cave (2.3 MB)\C02-Ceiling-CiclesWithMithuna-BB139.jpg,
Kbl 139T,overview,C02-Ceiling-CiclesWithMithuna-BB139.jpg,02-Cave (2.3 MB)\C02-Ceiling-CiclesWithMithuna-BB139.jpg,
Kbl 150,cave16,C16-Nanda-Tosuring-BB150.jpg,16-Cave\C16-Nanda-Tosuring-BB150.jpg,"Nanda shaves his Head — Conversion of Nanda, Cave 16"
Kbl 157,cave17,C17-InteriorView-BB157.jpg,17-Cave (14.0 MB)\C17-InteriorView-BB157.jpg,A View of the Main Hall of Cave 17
Kbl 161,cave17,C17-Visvantarajataka-Consoling-BB161.jpg,17-Cave (14.0 MB)\C17-Visvantarajataka-Consoling-BB161.jpg,"Vishvaantara consoles his Wife — Vishvaantara Jaataka, Cave 17"
Kbl 164,cave17,C17-AdoringBuddha-Indra-BB164.jpg,17-Cave (14.0 MB)\C17-AdoringBuddha-Indra-BB164.jpg,"Descent of Indra — Adoration of the Buddha, Cave 17"
Kbl 168,cave17,C17-AdoringBuddha-Gandharvas-BB168.jpg,17-Cave (14.0 MB)\C17-AdoringBuddha-Gandharvas-BB168.jpg,"Yaksha-Couple — Adoration of the Buddha, Cave 17"
Kbl 171,cave17,C17-Nalagiri-Conspiracy-BB171.jpg,17-Cave (14.0 MB)\C17-Nalagiri-Conspiracy-BB171.jpg,"Deva-datta hatches a Conspiracy — Miracle at Raajagriha, Cave 17"
Kbl 172,cave17,C17-Nalagiri-Charging-BB172.jpg,17-Cave (14.0 MB)\C17-Nalagiri-Charging-BB172.jpg,"Mad Elephant Nalagiri — Miracle at Raajagriha, Cave 17"
Kbl 173,cave17,C17-Nalagiri-Subdued-BB173.jpg,17-Cave (14.0 MB)\C17-Nalagiri-Subdued-BB173.jpg,"Subjugation of the Elephant — Miracle at Raajagriha, Cave 17"
Kbl 174,cave17,C17-Ceiling-RecliningBulls-BB174.jpg,17-Cave (14.0 MB)\C17-Ceiling-RecliningBulls-BB174.jpg,"Resting Bulls — ceiling painting, Cave 17"
Kbl 180B,cave17,C17-ShaddantaJataka-GettingTusks-BB180.jpg,17-Cave (14.0 MB)\C17-ShaddantaJataka-GettingTusks-BB180.jpg,"Queen faints — Shad-danta Jaataka, Cave 17"
Kbl 180T,overview,C17-ShaddantaJataka-GettingTusks-BB180.jpg,17-Cave (14.0 MB)\C17-ShaddantaJataka-GettingTusks-BB180.jpg,
Kbl 183,cave17,C17-HamsaJataka-Geesecaught-BB183.jpg,17-Cave (14.0 MB)\C17-HamsaJataka-Geesecaught-BB183.jpg,"Fowler brings the Geese to the Court — Mahaa-hamsa Jaataka, Cave 17"
Kbl 184,cave17,C17-HamsaJataka-Sermon-BB184.jpg,17-Cave (14.0 MB)\C17-HamsaJataka-Sermon-BB184.jpg,"Golden Goose gives Sermon — Mahaa-hamsa Jaataka, Cave 17"
Kbl 187,cave17,C17-VisvantaraJataka-HairDressing-BB187.jpg,17-Cave (14.0 MB)\C17-VisvantaraJataka-HairDressing-BB187.jpg,"Maid braids the Hair — Vishvaantara Jaataka, Cave 17"
Kbl 190,cave17,C17-VisvantaraJataka-Coronation-BB190.jpg,17-Cave (14.0 MB)\C17-VisvantaraJataka-Coronation-BB190.jpg,"Coronation of Vishvaantara — Vishvaantara Jaataka, Cave 17"
Kbl 192,cave17,C17-KapiJataka-SavingMan-BB192.jpg,17-Cave (14.0 MB)\C17-KapiJataka-SavingMan-BB192.jpg,"Monkey helps a Man — Mahaa-kapi Jaataka, Cave 17"
Kbl 193,cave17,C17-KapiJataka-AttemptToKill-BB193.jpg,17-Cave (14.0 MB)\C17-KapiJataka-AttemptToKill-BB193.jpg,"Man throws Stone on the Monkey — Mahaa-kapi Jaataka, Cave 17"
Kbl 195,cave17,C17-SutasomaJataka-LIonessInCourt-BB195.jpg,17-Cave (14.0 MB)\C17-SutasomaJataka-LIonessInCourt-BB195.jpg,"Court of Sudaasa — Suta-soma Jaataka, Cave 17"
Kbl 196,cave17,C17-SutasomaJataka-Coronation-BB196.jpg,17-Cave (14.0 MB)\C17-SutasomaJataka-Coronation-BB196.jpg,"Coronation of Saudaasa — Suta-soma Jaataka, Cave 17"
Kbl 197,overview,C17-SutasomaJataka-Eating-BB197.jpg,17-Cave (14.0 MB)\C17-SutasomaJataka-Eating-BB197.jpg,
Kbl 197B,overview,C17-SutasomaJataka-Eating-BB197.jpg,17-Cave (14.0 MB)\C17-SutasomaJataka-Eating-BB197.jpg,
Kbl 197T,overview,C17-SutasomaJataka-Eating-BB197.jpg,17-Cave (14.0 MB)\C17-SutasomaJataka-Eating-BB197.jpg,
Kbl 198,overview,C17-SutasomaJataka-KingFighting-BB198.jpg,17-Cave (14.0 MB)\C17-SutasomaJataka-KingFighting-BB198.jpg,
Kbl 200,cave17,C17-BuddhaInKapilavastu-BB200.jpg,17-Cave (14.0 MB)\C17-BuddhaInKapilavastu-BB200.jpg,"Mother and Child before the Buddha — Buddha in Kapila-vastu, Cave 17"
Kbl 202,cave17,C17-Tushita-WomenListening-BB202.jpg,17-Cave (14.0 MB)\C17-Tushita-WomenListening-BB202.jpg,"Mahaa-maaya listens to the Sermon — Preaching, Cave 17"
Kbl 203,overview,C17-Tushita-GodsWorshipping(Right)-BB203.jpg,17-Cave (14.0 MB)\C17-Tushita-GodsWorshipping(Right)-BB203.jpg,
Kbl 204,overview,C17-Tushita-ListeningToSermon-BB204.jpg,17-Cave (14.0 MB)\C17-Tushita-ListeningToSermon-BB204.jpg,
Kbl 207B,cave17,C17-MatriJataka-Capturing-BB207.jpg,17-Cave (14.0 MB)\C17-MatriJataka-Capturing-BB207.jpg,"Happy Reunion with the blind Parents — Maatri-poshaka Jaataka, Cave 17"
Kbl 211B,cave17,C17-Simhala-DisguisedRakshasis-BB211.jpg,17-Cave (14.0 MB)\C17-Simhala-DisguisedRakshasis-BB211.jpg,"Raakshasi-s as beautiful Maidens — Simhala Avadaana, Cave 17"
Kbl 212,cave17,C17-Simhala-InTents-BB212.jpg,17-Cave (14.0 MB)\C17-Simhala-InTents-BB212.jpg,"Merry Couples under Tents — Simhala Avadaana, Cave 17"
Kbl 213,overview,C17-Simahal-TentDetail-BB213.jpg,17-Cave (14.0 MB)\C17-Simahal-TentDetail-BB213.jpg,
Kbl 214,cave17,C17-Simahala-DevouringRakshasis(L)-BB214.jpg,17-Cave (14.0 MB)\C17-Simahala-DevouringRakshasis(L)-BB214.jpg,"Cannibalistic Raakshasi-s — Simhala Avadaana, Cave 17"
Kbl 216B,cave17,C17-Simhala-Escape-BB216.jpg,17-Cave (14.0 MB)\C17-Simhala-Escape-BB216.jpg,"Escape of Simhala — Simhala Avadaana, Cave 17"
Kbl 217,overview,C17-Simhala-ShowingGratitude-BB217.jpg,17-Cave (14.0 MB)\C17-Simhala-ShowingGratitude-BB217.jpg,
Kbl 218/219,overview,C17-Simhala-PalaceScene(Left)-BB218.jpg,17-Cave (14.0 MB)\C17-Simhala-PalaceScene(Left)-BB218.jpg,
Kbl 221,cave17,C17-Simhala-Massacre-BB221.jpg,17-Cave (14.0 MB)\C17-Simhala-Massacre-BB221.jpg,"Massacre in the Palace — Simhala Avadaana, Cave 17"
Kbl 223,cave17,C17-Simhala-VultureOngate-BB223.jpg,17-Cave (14.0 MB)\C17-Simhala-VultureOngate-BB223.jpg,"Vultures on the Gate — Simhala Avadaana, Cave 17"
Kbl 224,cave17,C17-Simhala-PreparationForWar-BB224.jpg,17-Cave (14.0 MB)\C17-Simhala-PreparationForWar-BB224.jpg,"Army gets Ready — Simhala Avadaana, Cave 17"
Kbl 227B/L,overview,C17-ShibiJataka-Woman1-BB227.jpg,17-Cave (14.0 MB)\C17-ShibiJataka-Woman1-BB227.jpg,
Kbl 227R,cave17,C17-ShibiJataka-Woman1-BB227.jpg,17-Cave (14.0 MB)\C17-ShibiJataka-Woman1-BB227.jpg,"Monastery — Shibi Jaataka, Cave 17 · normal perspective"
Kbl 227T/L,overview,C17-ShibiJataka-Woman1-BB227.jpg,17-Cave (14.0 MB)\C17-ShibiJataka-Woman1-BB227.jpg,
Kbl 228/229,overview,C17-MrigaJataka-KingOnMarch-BB229.jpg,17-Cave (14.0 MB)\C17-MrigaJataka-KingOnMarch-BB229.jpg,
Kbl 229,cave17,C17-MrigaJataka-KingOnMarch-BB229.jpg,17-Cave (14.0 MB)\C17-MrigaJataka-KingOnMarch-BB229.jpg,"King arrives in the Forest — Mriga Jaataka, Cave 17"
Kbl 23,overview,C06-Buddha-BB023.jpg,BenoyBehl_reduced (3.6 MB)\C06-Buddha-BB023.jpg,
Kbl 230,overview,C17-MrigaJataka-CatchingDeer-BB230.jpg,17-Cave (14.0 MB)\C17-MrigaJataka-CatchingDeer-BB230.jpg,
Kbl 231,cave17,C17-MrigaJataka-DeerBrought-BB231.jpg,17-Cave (14.0 MB)\C17-MrigaJataka-DeerBrought-BB231.jpg,"Deer carried on a Chariot — Mriga Jaataka, Cave 17"
Kbl 232,overview,C17-MrigaJataka-KingReturns-BB232.jpg,17-Cave (14.0 MB)\C17-MrigaJataka-KingReturns-BB232.jpg,
Kbl 89,overview,C01-MahajanakaJataka-ComposedQueen-BB089.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-ComposedQueen-BB089.jpg,
Line 01,line_sketches,C01-Padmapani Panel-ASI.jpg,LineDrgs_reduced (2.8 MB)\C01-Padmapani Panel-ASI.jpg,
Line 03,line_sketches,C01-Padmapani Panel-ASI.jpg,LineDrgs_reduced (2.8 MB)\C01-Padmapani Panel-ASI.jpg,
Line 04,line_sketches,C01-ChampeyyaJataka-ASI.jpg,LineDrgs_reduced (2.8 MB)\C01-ChampeyyaJataka-ASI.jpg,
Line 05,line_sketches,C17-AdoringBuddha-Indra_s Descent-ASI.jpg,LineDrgs_reduced (2.8 MB)\C17-AdoringBuddha-Indra_s Descent-ASI.jpg,
Line 06,line_sketches,C01-ShankhapalaJataka-ASI.jpg,LineDrgs_reduced (2.8 MB)\C01-ShankhapalaJataka-ASI.jpg,
Line 07,line_sketches,C17-Nalagiri-ASI.jpg,LineDrgs_reduced (2.8 MB)\C17-Nalagiri-ASI.jpg,
Line 08,line_sketches,C02-VidhuraJataka-Irandati-ASI.jpg,LineDrgs_reduced (2.8 MB)\C02-VidhuraJataka-Irandati-ASI.jpg,
Line 09,line_sketches,C17-VisvantaraJataka-Restoration-ASI.jpg,LineDrgs_reduced (2.8 MB)\C17-VisvantaraJataka-Restoration-ASI.jpg,
Line 10,line_sketches,C16-Ummaga-Mahosadha with Councillors-MJT.jpg,LineDrgs_reduced (2.8 MB)\C16-Ummaga-Mahosadha with Councillors-MJT.jpg,
Line 11,line_sketches,C10-ShaddantaJataka1-MJT.jpg,LineDrgs_reduced (2.8 MB)\C10-ShaddantaJataka1-MJT.jpg,
Line 12,line_sketches,C17-Buddha in Kapilavastu-SNYL.jpg,LineDrgs_reduced (2.8 MB)\C17-Buddha in Kapilavastu-SNYL.jpg,
Line 13,line_sketches,C17-MatriJataka-SNYL.jpg,LineDrgs_reduced (2.8 MB)\C17-MatriJataka-SNYL.jpg,
Line 14,line_sketches,C17-MrigaJataka-MJT.jpg,LineDrgs_reduced (2.8 MB)\C17-MrigaJataka-MJT.jpg,
Line 16,line_sketches,C17-ShaddantaJataka-MJT.jpg,LineDrgs_reduced (2.8 MB)\C17-ShaddantaJataka-MJT.jpg,
Line 17,line_sketches,C01-ChampeyyaJataka-ASI.jpg,LineDrgs_reduced (2.8 MB)\C01-ChampeyyaJataka-ASI.jpg,
Line 18,line_sketches,C17-HamsaJataka-ASI.jpg,LineDrgs_reduced (2.8 MB)\C17-HamsaJataka-ASI.jpg,
Line 19,line_sketches,C01-Nanda-Panel-ASI.jpg,LineDrgs_reduced (2.8 MB)\C01-Nanda-Panel-ASI.jpg,
Line 2,line_sketches,C01-Nanda-Panel-ASI.jpg,LineDrgs_reduced (2.8 MB)\C01-Nanda-Panel-ASI.jpg,
Line 3,line_sketches,C01-Padmapani Panel-ASI.jpg,LineDrgs_reduced (2.8 MB)\C01-Padmapani Panel-ASI.jpg,
Mjt 007,overview,C01-InsideView-MJT007.jpg,01-Cave (3.8 MB)\C01-InsideView-MJT007.jpg,
Mjt 013,cave1,C01-Pillar-FightingBulls-MJT013.jpg,01-Cave (3.8 MB)\C01-Pillar-FightingBulls-MJT013.jpg,"Fighting Bulls — ceiling painting, Cave 1"
Mjt 034,cave1,C01-WomenInPalace-Woman with Lotus-MJT034.jpg,01-Cave (3.8 MB)\C01-WomenInPalace-Woman with Lotus-MJT034.jpg,"Woman holding a Lotus — Queen in a Palace Scene, Cave 1"
Mjt 046,cave1,C01-NagaCourt-Dancer(ed)-MJT046.jpg,01-Cave (3.8 MB)\C01-NagaCourt-Dancer(ed)-MJT046.jpg,"Dancer in the Naaga Court — Palace Scene of the Naaga Kingdom, Cave 1"
Mjt 051,cave1,C01-ShibiJataka-WailingWomen-MJT051.jpg,01-Cave (3.8 MB)\C01-ShibiJataka-WailingWomen-MJT051.jpg,"Wailing Women — Shibi Jaataka (animnonnata style), Cave 1"
Mjt 078,cave1,C01-Avaloka-Sakti Pandara-MJT078.jpg,01-Cave (3.8 MB)\C01-Avaloka-Sakti Pandara-MJT078.jpg,"Shakti Pandara — Bodhi-sattva Avalokiteshvara Panel, Cave 1"
Mjt 097,cave2,C02-HamsaJataka-Gate-MJT097.jpg,02-Cave (2.3 MB)\C02-HamsaJataka-Gate-MJT097.jpg,Gate in King Brahma-datta's Palace — Cave 2 · normal perspective
Mjt 106,cave10,C10-Raja with his Retinue(Full)-MJT106-7.jpg,10-Cave\C10-Raja with his Retinue(Full)-MJT106-7.jpg,"Raja with his Retinue — Cave 10, 2nd/1st c. BC · EARLIEST SURVIVING PAINTING"
Mjt 107,cave10,C10-Raja with his Retinue (Edited) - Right-MJT107.jpg,10-Cave\C10-Raja with his Retinue (Edited) - Right-MJT107.jpg,"Dancers and Musicians — Cave 10, 2nd/1st century BC"
Mjt 111,cave16,C16-UmmagaJataka-MahosadhaWithCouncillors-MJT111.jpg,16-Cave\C16-UmmagaJataka-MahosadhaWithCouncillors-MJT111.jpg,"Maho-sadha and Four envious Counsellors — Mahaa-ummaga Jaataka, Cave 16"
Nou 008,cave26,C26-Prinirvana(Face)-Nou008.jpg,26-Cave\C26-Prinirvana(Face)-Nou008.jpg,"Buddha's Nirvana — relief sculpture, Cave 26"
Nou 020,overview,C02-Buddha in Sanctum(sculpture)-Nou020.jpg,02-Cave (2.3 MB)\C02-Buddha in Sanctum(sculpture)-Nou020.jpg,
Nou 035,overview,C02-Hariti(Sculpture)-Nou035.jpg,02-Cave (2.3 MB)\C02-Hariti(Sculpture)-Nou035.jpg,
Nou 040,overview,C02-Inside View(Left)-Nou040.jpg,02-Cave (2.3 MB)\C02-Inside View(Left)-Nou040.jpg,
