image_id,folder,filename,expected_file,caption
"Kbl 190","cave17","Kbl_190","Kbl_190.jpg","Coronation of Vishvaantara — Vishvaantara Jaataka, Cave 17"
"Kbl 192","cave17","Kbl_192","Kbl_192.jpg","Monkey helps a Man — Mahaa-kapi Jaataka, Cave 17"
"Kbl 193","cave17","Kbl_193","Kbl_193.jpg","Man throws Stone on the Monkey — Mahaa-kapi Jaataka, Cave 17"
"Kbl 195","cave17","Kbl_195","Kbl_195.jpg","Court of Sudaasa — Suta-soma Jaataka, Cave 17"
"Kbl 196","cave17","Kbl_196","Kbl_196.jpg","Coronation of Saudaasa — Suta-soma Jaataka, Cave 17"
"Kbl 197","overview","Kbl_197","Kbl_197.jpg",""
"Kbl 197B","overview","Kbl_197B","Kbl_197B.jpg",""
"Kbl 197T","overview","Kbl_197T","Kbl_197T.jpg",""
"Kbl 198","overview","Kbl_198","Kbl_198.jpg",""
"Kbl 199","overview","Kbl_199","Kbl_199.jpg",""
"Kbl 200","cave17","Kbl_200","Kbl_200.jpg","Mother and Child before the Buddha — Buddha in Kapila-vastu, Cave 17"
"Kbl 201","overview","Kbl_201","Kbl_201.jpg",""
"Kbl 202","cave17","Kbl_202","Kbl_202.jpg","Mahaa-maaya listens to the Sermon — Preaching, Cave 17"
"Kbl 203","overview","Kbl_203","Kbl_203.jpg",""
"Kbl 204","overview","Kbl_204","Kbl_204.jpg",""
"Kbl 207B","cave17","Kbl_207B","Kbl_207B.jpg","Happy Reunion with the blind Parents — Maatri-poshaka Jaataka, Cave 17"
"Kbl 211B","cave17","Kbl_211B","Kbl_211B.jpg","Raakshasi-s as beautiful Maidens — Simhala Avadaana, Cave 17"
"Kbl 212","cave17","Kbl_212","Kbl_212.jpg","Merry Couples under Tents — Simhala Avadaana, Cave 17"
"Kbl 213","overview","Kbl_213","Kbl_213.jpg",""
"Kbl 214","cave17","Kbl_214","Kbl_214.jpg","Cannibalistic Raakshasi-s — Simhala Avadaana, Cave 17"
"Kbl 216B","cave17","Kbl_216B","Kbl_216B.jpg","Escape of Simhala — Simhala Avadaana, Cave 17"
"Kbl 217","overview","Kbl_217","Kbl_217.jpg",""
"Kbl 218/219","overview","Kbl_218-219","Kbl_218-219.jpg",""
"Kbl 221","cave17","Kbl_221","Kbl_221.jpg","Massacre in the Palace — Simhala Avadaana, Cave 17"
"Kbl 223","cave17","Kbl_223","Kbl_223.jpg","Vultures on the Gate — Simhala Avadaana, Cave 17"
"Kbl 224","cave17","Kbl_224","Kbl_224.jpg","Army gets Ready — Simhala Avadaana, Cave 17"
"Kbl 227B/L","overview","Kbl_227B-L","Kbl_227B-L.jpg",""
"Kbl 227R","cave17","Kbl_227R","Kbl_227R.jpg","Monastery — Shibi Jaataka, Cave 17 · normal perspective"
"Kbl 227T/L","overview","Kbl_227T-L","Kbl_227T-L.jpg",""
"Kbl 228/229","overview","Kbl_228-229","Kbl_228-229.jpg",""
"Kbl 229","cave17","Kbl_229","Kbl_229.jpg","King arrives in the Forest — Mriga Jaataka, Cave 17"
"Kbl 23","overview","Kbl_23","Kbl_23.jpg",""
"Kbl 230","overview","Kbl_230","Kbl_230.jpg",""
"Kbl 231","cave17","Kbl_231","Kbl_231.jpg","Deer carried on a Chariot — Mriga Jaataka, Cave 17"
"Kbl 232","overview","Kbl_232","Kbl_232.jpg",""
"Kbl 89","overview","Kbl_89","Kbl_89.jpg",""
"Line 01","line_sketches","Line_01","Line_01.jpg",""
"Line 03","line_sketches","Line_03","Line_03.jpg",""
"Line 04","line_sketches","Line_04","Line_04.jpg",""
"Line 05","line_sketches","Line_05","Line_05.jpg",""
"Line 06","line_sketches","Line_06","Line_06.jpg",""
"Line 07","line_sketches","Line_07","Line_07.jpg",""
"Line 08","line_sketches","Line_08","Line_08.jpg",""
"Line 09","line_sketches","Line_09","Line_09.jpg",""
"Line 10","line_sketches","Line_10","Line_10.jpg",""
"Line 11","line_sketches","Line_11","Line_11.jpg",""
"Line 12","line_sketches","Line_12","Line_12.jpg",""
"Line 13","line_sketches","Line_13","Line_13.jpg",""
"Line 14","line_sketches","Line_14","Line_14.jpg",""
"Line 16","line_sketches","Line_16","Line_16.jpg",""
"Line 17","line_sketches","Line_17","Line_17.jpg",""
"Line 18","line_sketches","Line_18","Line_18.jpg",""
"Line 19","line_sketches","Line_19","Line_19.jpg",""
"Line 2","line_sketches","Line_2","Line_2.jpg",""
"Line 3","line_sketches","Line_3","Line_3.jpg",""
"Mjt 007","overview","Mjt_007","Mjt_007.jpg",""
"Mjt 013","cave1","Mjt_013","Mjt_013.jpg","Fighting Bulls — ceiling painting, Cave 1"
"Mjt 034","cave1","Mjt_034","Mjt_034.jpg","Woman holding a Lotus — Queen in a Palace Scene, Cave 1"
"Mjt 046","cave1","Mjt_046","Mjt_046.jpg","Dancer in the Naaga Court — Palace Scene of the Naaga Kingdom, Cave 1"
"Mjt 051","cave1","Mjt_051","Mjt_051.jpg","Wailing Women — Shibi Jaataka (animnonnata style), Cave 1"
"Mjt 078","cave1","Mjt_078","Mjt_078.jpg","Shakti Pandara — Bodhi-sattva Avalokiteshvara Panel, Cave 1"
"Mjt 097","cave2","Mjt_097","Mjt_097.jpg","Gate in King Brahma-datta's Palace — Cave 2 · normal perspective"
"Mjt 106","cave10","Mjt_106","Mjt_106.jpg","Raja with his Retinue — Cave 10, 2nd/1st c. BC · EARLIEST SURVIVING PAINTING"
"Mjt 107","cave10","Mjt_107","Mjt_107.jpg","Dancers and Musicians — Cave 10, 2nd/1st century BC"
"Mjt 111","cave16","Mjt_111","Mjt_111.jpg","Maho-sadha and Four envious Counsellors — Mahaa-ummaga Jaataka, Cave 16"
"Mjt 146","overview","Mjt_146","Mjt_146.jpg",""
"Mjt 167","cave17","Mjt_167","Mjt_167.jpg","Deer Hunt — Suta-soma Jaataka, Cave 17"
"Nou 008","cave26","Nou_008","Nou_008.jpg","Buddha's Nirvana — relief sculpture, Cave 26"
"Nou 020","overview","Nou_020","Nou_020.jpg",""
"Nou 025","cave19","Nou_025","Nou_025.jpg","Chaitya Interior — Cave 19"
"Nou 030","cave17","Nou_030","Nou_030.jpg","A View of the Aisle of Cave 17"
"Nou 035","overview","Nou_035","Nou_035.jpg",""
"Nou 040","overview","Nou_040","Nou_040.jpg",""
"Nou 048","cave1","Nou_048","Nou_048.jpg","Temptations of the Buddha — Cave 1, 5th century AD"
"Nou 050","cave1","Nou_050","Nou_050.jpg","Maara's Attendant — Temptations of the Buddha, Cave 1"
"Nou 073","cave1","Nou_073","Nou_073.jpg","Queen in a Palace Scene — Cave 1, period of decline"
"Nou 076","cave1","Nou_076","Nou_076.jpg","Palace Scene of the Naaga Kingdom — Cave 1"
"Nou 133","cave2","Nou_133","Nou_133.jpg","Images of the Buddhas — Cave 2, 4th century AD"
"Nou 137","cave2","Nou_137","Nou_137.jpg","Departure of Vidhura-pandita — Cave 2"
"Nou 155","cave17","Nou_155","Nou_155.jpg","Six Gandharva-s — ceiling painting, Cave 17"
"Nou 161/162","overview","Nou_161-162","Nou_161-162.jpg",""
"Nou 192","cave17","Nou_192","Nou_192.jpg","Capture, Freedom and Reunion — Maatri-poshaka Jaataka, Cave 17"
"Nou 197","cave17","Nou_197","Nou_197.jpg","Buddha preaches to the Congregation — Cave 17"
"Nou 207","cave17","Nou_207","Nou_207.jpg","Mahisha Jaataka — Cave 17, 5th century AD"
"Nou 210","overview","Nou_210","Nou_210.jpg","A View of the Caves — Ajanta"
"Nou 211","cave19","Nou_211","Nou_211.jpg","Facade — Cave 19"
"Nou 212","cave19","Nou_212","Nou_212.jpg","Naaga Couple — sculpture, Cave 19"
"Nou 215","cave26","Nou_215","Nou_215.jpg","Mahaa-parinirvaana — colossal reclining Buddha, Cave 26"
"Nou 25","overview","Nou_25","Nou_25.jpg",""
"asi 028","overview","asi_028","asi_028.jpg",""
"asi 030","overview","asi_030","asi_030.jpg",""
"asi 067","overview","asi_067","asi_067.jpg",""
"asi83","overview","asi83","asi83.jpg",""
"kbl 091","overview","kbl_091","kbl_091.jpg",""
"kbl 132","overview","kbl_132","kbl_132.jpg",""
"kbl 157","overview","kbl_157","kbl_157.jpg",""
"kbl 159","overview","kbl_159","kbl_159.jpg",""
"kbl 164","overview","kbl_164","kbl_164.jpg",""
"kbl 174","overview","kbl_174","kbl_174.jpg",""
"kbl 227R","overview","kbl_227R","kbl_227R.jpg",""
"line 13","line_sketches","line_13","line_13.jpg",""
"mjt 097","overview","mjt_097","mjt_097.jpg",""
"nou 155","overview","nou_155","nou_155.jpg",""
"nou 197","overview","nou_197","nou_197.jpg",""
"nou 212","overview","nou_212","nou_212.jpg",""
"nou 214","overview","nou_214","nou_214.jpg",""
